id	filename	md5	size	state
235a6687-511b-4f2a-96d2-35403ade04cf	VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H06_568956.CEL	0c890fd497fe4fe119307ebb1248bd5e	69093957	released
e74b432a-33ee-4275-a392-a136a4daa7fa	f767a701-beb4-4b76-923c-fab8346f7629.somatic.SV.bedpe	bab174c73e4bcc6338a313a4e65f704c	383321	released
d8455955-e5de-488e-bd41-0aebbd050051	TCGA_COAD.178d287f-9313-4514-914a-8a2f80a55117.wxs.MuSE.somatic_annotation.vcf.gz	6b933098b4134d5037bb9dbe506b7f01	49829	released
f36c9788-9fd9-48f4-a0c9-63c28d1365b3	bd01a4e5-8aeb-4601-9cd2-f4cb0e2d0801.wxs.muse.raw_somatic_mutation.vcf.gz	59a394952db63ca59318a33dd8a29542	174131	released
7754225a-05af-4dc6-b1f1-1acbf739b53e	TCGA_COAD.f84bde02-5c29-4438-abfc-eaf642a62041.wxs.MuTect2.somatic_annotation.vcf.gz	31676049f7694d26128bfb7e527f9342	5009293	released
c82505b7-f98f-4de1-9d52-f4042529586d	TCGA_COAD.d9d029ab-321b-4dd4-8ebe-8b3a60817f48.wgs.VarScan2.somatic_annotation.vcf.gz	5f1b1f754b99d1a3c0e7cadb3f76ab55	123485251	released
ff710149-0fc6-464a-93cb-e3b9bdcf3525	dfb9c45f-cb52-4e36-b663-1a9e8c7c0b47.rna_seq.augmented_star_gene_counts.tsv	0322f762090e53965c964b763ce9cd7c	4204474	released
770b015e-0d0e-4096-b361-a234439bc052	359f0ddb-195d-4196-b9f2-e172f2c48eac.wxs.Pindel.aliquot.maf.gz	edc30b6a32633919dc14671b6049405d	3042436	released
01e08b78-5fbc-4673-bbd8-cfcf475e7300	nationwidechildrens.org_biospecimen.TCGA-AA-3561.xml	c466cc18e0f9698ec7e6ca7c4f813808	93090	released
21d294d5-593a-48b5-9faf-bcbb05e11dd3	VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H06_568956.nocnv_grch38.seg.v2.txt	2d8cfc800e2ceab16af6d84f74ac5a38	22741	released
a96b8145-7daa-4bca-8422-1528fe6b5b4e	TCGA_COAD.c712e30a-afec-4a14-a06b-c8aa6cdd3646.wxs.MuSE.somatic_annotation.vcf.gz	892e33a429b68b55cd2b3cf109c456a4	256891	released
76117b24-54f6-4b64-9c4e-eb67b611eead	TCGA-NH-A5IV-01A-04-TS4.A8D8B4AF-2E59-40F2-A64F-3EF2CA984AD1.svs	abb945b96d6265d9d06382e093d14c39	266750829	released
09fefec2-4650-459d-9eb6-8c0fb2a958e9	b55b2a17-a83f-4a3e-a920-d3282d849f1a.wxs.aliquot_ensemble_masked.maf.gz	e0a9d1cc791d0502e6323a1fe7b30bd6	475317	released
b9fa7a1b-a463-4839-9645-b410c3fdd2e9	TCGA-AA-3561-01A-01D-A91V-36.WGS.RP-1657.bam	5fb892c542baacf017a25d12f0f5bd65	543281265930	released
f4f1910c-9280-4485-baa1-0e31d25f8192	817fd967-958e-433d-85d8-45d070438654.mirbase21.isoforms.quantification.txt	ebad78c885811c5fce00527813003d37	234557	released
a36229d5-f609-4130-bbf9-73dbd7d8d9ba	58ddd3a2-908d-42ce-a8a4-0507079c2f18.wxs.pindel.raw_somatic_mutation.vcf.gz	b5098e395806bcf05cc1c0e2943ed8cd	20689	released
565c11ba-9869-4709-b60a-f7ade12522ae	TCGA_COAD.8517ce94-1bc0-4908-b3ab-d58edb8486bd.wgs.GATK4_MuTect2_Pair.somatic_annotation.vcf.gz	943878cb325da653b052aa2df93fc843	96198392	released
f3b84e88-ec97-4cf6-8ac6-c34df6d55786	b55b2a17-a83f-4a3e-a920-d3282d849f1a.wxs.aliquot_ensemble_raw.maf.gz	2160b849188193f7d941b2e3e0f7321f	1443340	released
71801dc8-f50a-4e08-b423-ec0aa0fc18d5	GRIPS_p_TCGA_b116_SNP_N_GenomeWideSNP_6_E03_781394.grch38.seg.v2.txt	3ead213bd00ef3b04087f2ff0492df99	52162	released
214589ea-7790-427d-8c70-06646b845a83	5e36c8eb-39e7-46ce-b5be-777f528586c4_noid_Red.idat	68654050fb6da23d16967947d1b7efb8	719553	released
22af7a55-e666-4a7d-b94a-2cec6de565c6	TCGA-COAD.95531594-161f-436c-978e-7b0425ac7a93.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	1864587ccb754711a4845e578bb86a63	46333757	released
076d2e0a-187e-461e-a227-f894ad1ed897	TCGA-AA-3554-01A-21-1932-20_RPPA_data.tsv	7f6211e0c937f9dc76d93ac98567a778	24005	released
a9806e5a-7e65-4c7d-82c3-6e67a015380d	d0e0f519-f79f-4ce8-9fdb-c3d207035a2e.mirbase21.mirnas.quantification.txt	8f0e54663088fbfef37c225a2bfb0fe3	50068	released
1e6fa187-25e1-4862-838f-c1905cb739fb	nationwidechildrens.org_clinical.TCGA-AA-3554.xml	ed5acb69132fcc7e7dd18f41d0a3f740	29162	released
b8322ab0-8ffb-45a7-a396-9d9e09a45804	TCGA-COAD.9ffe4929-b7aa-4e04-9876-56b1c4b33139.ascat2.allelic_specific.seg.txt	d38b2dff1963921983ab05b1c9d51734	7262	released
d88fae6d-a149-44e0-add6-22b8561725af	5e36c8eb-39e7-46ce-b5be-777f528586c4_noid_Grn.idat	af753e18ec0b5c30e411065ba12cfaa6	719553	released
b8612819-7ac6-46c5-870d-1f529c7b3803	97162604-89a3-452d-ba55-10ac6d9f2b05.wxs.varscan2.raw_somatic_mutation.vcf.gz	311154c0b1438f4b2c294f4f267eb1a4	53804	released
511c9032-1cfe-4eb8-af0b-81b68d5dd94c	f1e12f1a-21c0-4239-9785-71e7c0030f56.wgs.ASCAT.gene_level.copy_number_variation.tsv	9ce1652c05b8f3eebc7dfdc051b6963b	3441158	released
96b2c469-74f6-4bc3-af1f-2d604102a90f	24d909f2-cdc8-4509-91d5-e18fffcf90eb.rna_seq.star_splice_junctions.tsv.gz	014e98c57b81950304648fd472fe0ad4	2050382	released
abbf19f6-da0b-4a16-aeea-567a4f244c87	TCGA_COAD.00440cb2-9bb9-4479-92af-63dd05986c64.wxs.VarScan2.somatic_annotation.vcf.gz	d81fd4fce49a2740d4b0e0c0bdd64fdb	622694	released
9672f2af-2be3-4a35-b3be-e02c990ce7b9	TCGA-NH-A5IV.F7280EE2-0A62-4DE5-8A20-17B6FBB51F41.PDF	2a10c270ac08381b8e5fb6e77c35e7a3	161572	released
02fc2f46-5ea7-470c-b19e-38d223b16069	nationwidechildrens.org_biospecimen.TCGA-NH-A5IV.xml	08770b97fdb3072ac8b02ddc682cccea	71434	released
570885b1-d46b-4cb2-a3b1-3bc18242cf9a	5e36c8eb-39e7-46ce-b5be-777f528586c4.methylation_array.sesame.level3betas.txt	cb04b557881c7a0c8cec9ec4d4ca6e54	772075	released
d3447774-0975-4b0d-affb-c1486edaa456	TCGA-AA-3554-01A-01T-0827-13_mirna_gdc_realn.bam	7b92cd8698086cf8c9a232737ea53c15	27600354	released
af66979b-c6a5-4fe6-9fb2-daa37976c231	2017df03-8680-45e4-82ab-d2b173034fd9.somatic.SV.bedpe	32df98b00ce75dc4869590a63d8d3ccd	187270	released
46954c45-455b-4199-8467-f1e26bcd32d9	9e15864c-1082-4af2-9623-358874099537.wgs.gatk4.copy_number_variation.supplementary.tar.gz	4b5fb8807edebe08fc7554b386ae2615	279450644	released
25b26443-4891-4aae-9331-d05af302cdc3	77695f8a-3a82-4e6e-9240-ea1186df4775.mirbase21.isoforms.quantification.txt	b39726051580774aa85807508caaec31	352342	released
b664b26b-9401-4d5c-b6eb-ff0b1c4bd863	nationwidechildrens.org_ssf.TCGA-NH-A5IV.xml	9da52215ff958d0e178b3e3e0fc0308d	14957	released
28c9a479-f3c6-4730-a086-486ce8c523d7	568a845e-d8a0-47b5-af77-896831524b16.rna_seq.genomic.gdc_realn.bam	caed806602b8e6a75edcaae0694bb535	4476619295	released
c98c20d2-aca9-4467-8499-5450b5967dca	370210b6-bc09-4eff-8815-c6236f0f1c13.wgs.ASCAT.gene_level.copy_number_variation.tsv	96a4f22c0ab02d16bee7a4bc49f2976d	3441263	released
d946de0e-96bf-4a31-996c-1dcfa8824064	f1e12f1a-21c0-4239-9785-71e7c0030f56.wgs.BRASS.rerun_structural_variation.bedpe.gz	c9555d02cba737dcd18c40b5ed580ed9	53270	released
fb4521df-315b-41ea-b4ad-a1573dbda0a9	SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A07_569098.nocnv_grch38.seg.v2.txt	b1aa5c0850c5d629a7b743d6e0a364b0	4094	released
068b08cf-4cfb-43ac-8874-2e5f5f6da2e0	7627d41c-9cef-4be0-b30f-e9894759f13e.mirbase21.mirnas.quantification.txt	95414db173245ef16df309eeb5e9a738	50384	released
705c412e-f237-4dd7-989c-21efb3ee2006	213f702a-56fd-4ab0-940c-a71e4e01b6f8.rna_seq.star_splice_junctions.tsv.gz	628f582e695afb1d1b4f03413f81872c	2248115	released
f9f85df9-a5b8-46e2-a9f0-df1840534941	TCGA-COAD.a691533c-2aee-4b78-bc57-4dfe49eac2f2.arriba.rna_fusion.bedpe	13f8c537c3915fd17a532edab7d2adfa	1243	released
67475de9-9dd6-40e1-b57a-6fcbf2358990	dae2f37f-99ca-4d61-8762-876f15aa63b8.mirbase21.isoforms.quantification.txt	173bf9326e5522d1ce7de10c6cf88437	314301	released
b60d91df-a701-40eb-a9ab-4eb4ce31aa54	f767a701-beb4-4b76-923c-fab8346f7629.somatic_sv.vcf.gz	a086c91a683e9b1685759efde9dab114	85427	released
92d1bc21-e158-40f7-9548-4794e40eb361	nationwidechildrens.org_clinical.TCGA-D5-5538.xml	c3a9f446f5f8d0b8f9b6db8416c79f1a	42922	released
e2f339e7-d6db-4315-ae66-c42de1ed92fb	d1b9907f-18bc-4c65-9493-8a25efa67dd1_wgs_gdc_realn.bam	d29cc02d53152aec46ffbafdc7d8d1bc	364993595366	released
a5d5b9e5-5ac2-471c-bf9f-e3a246b8e8b2	TCGA_COAD.3d2fc5c4-1a05-4773-80ca-cac66638180e.wxs.Pindel.somatic_annotation.vcf.gz	0ab45516f7ef0035f9dff3b61019c8a4	28427	released
edd4cdb8-5300-475f-b367-491b6f44f902	nationwidechildrens.org_biospecimen_portion_coad.txt	b066286296bfdb233eee3088d12a3b59	169282	released
8b12e80f-32cd-4164-89e7-901a25ac9a24	c021c7fb-12c2-4c65-aa7e-c236c627dff6_wxs_gdc_realn.bam	e8ec083858832dce0cedf0ea70f757af	19012049502	released
